target_id,kind,checkpoint,destination,source_total_kg,observed_kg,lower_kg,upper_kg,covered,width_over_source
8982689288AAE8DF|2016-05-09|Sebeninkoro,known_route,Sebeninkoro,Siby,369.6,123.2,0.0,260.8234059725585,True,0.705691033475537
8982689288AAE8DF|2016-05-09|Sebeninkoro,unresolved_route,,UNRESOLVED,369.6,246.4,0.0,317.29007263922523,True,0.858468811253315
8982689288AAE8DF|2016-05-07|Sogoniko,known_route,Sénou,Sélingué,1232.0,616.0,379.6997578692495,1232.0,True,0.6918021445866482
8982689288AAE8DF|2016-05-07|Sogoniko,unresolved_route,,UNRESOLVED,1232.0,616.0,0.0,852.3002421307506,True,0.6918021445866482
8982689288AAE8DF|2016-05-09|Sogoniko,known_route,Sénou,Sélingué,616.0,616.0,189.84987893462474,616.0,True,0.6918021445866482
8982689288AAE8DF|2016-05-09|Sogoniko,unresolved_route,,UNRESOLVED,616.0,0.0,0.0,426.1501210653753,True,0.6918021445866482
E46772A28C70F785|2016-05-07|Gare de la Guinée,known_route,Sebeninkoro,Kangaba,1080.0,480.0,0.0,1017.14631615358,True,0.9418021445866481
E46772A28C70F785|2016-05-07|Gare de la Guinée,known_route,Sebeninkoro,Koflatyé,1080.0,360.0,0.0,1017.14631615358,True,0.9418021445866481
E46772A28C70F785|2016-05-07|Gare de la Guinée,known_route,Sebeninkoro,Kokoyo,1080.0,240.0,0.0,1017.14631615358,True,0.9418021445866481
E46772A28C70F785|2016-05-07|Gare de la Guinée,known_route,Sebeninkoro,Kourémalé (Mali),1080.0,0.0,0.0,1017.14631615358,True,0.9418021445866481
E46772A28C70F785|2016-05-07|Gare de la Guinée,unresolved_route,,UNRESOLVED,1080.0,0.0,0.0,1080.0,True,1.0
E46772A28C70F785|2016-05-08|Gare de la Guinée,known_route,Sebeninkoro,Kangaba,1560.0,0.0,0.0,1469.211345555171,True,0.941802144586648
E46772A28C70F785|2016-05-08|Gare de la Guinée,known_route,Sebeninkoro,Koflatyé,1560.0,720.0,0.0,1469.211345555171,True,0.941802144586648
E46772A28C70F785|2016-05-08|Gare de la Guinée,known_route,Sebeninkoro,Kokoyo,1560.0,480.0,0.0,1469.211345555171,True,0.941802144586648
E46772A28C70F785|2016-05-08|Gare de la Guinée,known_route,Sebeninkoro,Kourémalé (Mali),1560.0,0.0,0.0,1469.211345555171,True,0.941802144586648
E46772A28C70F785|2016-05-08|Gare de la Guinée,unresolved_route,,UNRESOLVED,1560.0,360.0,0.0,1560.0,True,1.0
E46772A28C70F785|2016-05-09|Gare de la Guinée,known_route,Sebeninkoro,Kangaba,1920.0,840.0,0.0,1808.2601176063645,True,0.9418021445866481
E46772A28C70F785|2016-05-09|Gare de la Guinée,known_route,Sebeninkoro,Koflatyé,1920.0,960.0,0.0,1808.2601176063645,True,0.9418021445866481
E46772A28C70F785|2016-05-09|Gare de la Guinée,known_route,Sebeninkoro,Kokoyo,1920.0,120.0,0.0,1808.2601176063645,True,0.9418021445866481
E46772A28C70F785|2016-05-09|Gare de la Guinée,known_route,Sebeninkoro,Kourémalé (Mali),1920.0,0.0,0.0,1808.2601176063645,True,0.9418021445866481
E46772A28C70F785|2016-05-09|Gare de la Guinée,unresolved_route,,UNRESOLVED,1920.0,0.0,0.0,1920.0,True,1.0
E46772A28C70F785|2016-05-07|Kalabancoro,known_route,Kabala,Kourale,120.0,120.0,36.98374264960223,120.0,True,0.6918021445866481
E46772A28C70F785|2016-05-07|Kalabancoro,unresolved_route,,UNRESOLVED,120.0,0.0,0.0,83.01625735039778,True,0.6918021445866481
E46772A28C70F785|2016-05-07|Medine (Sougounikoura) (Marché),known_route,Kati,Kita,360.0,60.0,0.0,360.0,True,1.0
E46772A28C70F785|2016-05-07|Medine (Sougounikoura) (Marché),known_route,Kati,Kolokani,360.0,0.0,0.0,269.18646568286283,True,0.7477401824523967
E46772A28C70F785|2016-05-07|Medine (Sougounikoura) (Marché),known_route,Kati,Nionsonbougou,360.0,0.0,0.0,252.14687876375785,True,0.7004079965659941
E46772A28C70F785|2016-05-07|Medine (Sougounikoura) (Marché),known_route,Kati,Torokorobougou,360.0,0.0,0.0,255.2449854763224,True,0.70901384854534
